Audio File,Title,Artists,Note_or_raw
Pole1_audio.mp3,A COLD PLAY,The Kid LAROI,"{""cost_time"":0.375,""result_type"":0,""status"":{""msg"":""Success"",""code"":0,""version"":""1.0""},""metadata"":{""music"":[{""db_begin_time_offset_ms"":97140,""db_end_time_offset_ms"":108600,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11760,""play_offset_ms"":108600,""acrid"":""5f4bc58e5d8673e1b10c8d42cb74568c"",""external_ids"":{""upc"":""0196873582498"",""isrc"":""USSM12503891""},""title"":""A COLD PLAY"",""album"":{""na"
Pole2_audio.mp3,황혼의 문턱,왁스,"{""cost_time"":0.97800016403198,""result_type"":0,""status"":{""msg"":""Success"",""code"":0,""version"":""1.0""},""metadata"":{""music"":[{""db_begin_time_offset_ms"":44640,""db_end_time_offset_ms"":55220,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":10580,""release_date"":""2003-09-01"",""acrid"":""887a340f891739bd7047a0e4190b11f5"",""external_ids"":{""upc"":""4548341000229"",""isrc"":""KRA070300230""},""external_metadata"":"
Pole3_audio.mp3,동그라미,최유리,"{""cost_time"":0.5550000667572,""result_type"":0,""status"":{""msg"":""Success"",""code"":0,""version"":""1.0""},""metadata"":{""music"":[{""db_begin_time_offset_ms"":167200,""db_end_time_offset_ms"":178580,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11760,""play_offset_ms"":178580,""duration_ms"":294340,""external_ids"":{""upc"":""8804775140334"",""isrc"":""KRA382000474""},""external_metadata"":{""deezer"":{""track"":{""id"":"
Pole4_audio.mp3,Into Bloom,N.Flying,"{""cost_time"":1.6050000190735,""result_type"":0,""status"":{""msg"":""Success"",""code"":0,""version"":""1.0""},""metadata"":{""music"":[{""db_begin_time_offset_ms"":45520,""db_end_time_offset_ms"":56620,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11760,""play_offset_ms"":56620,""duration_ms"":190700,""external_ids"":{""upc"":""8804775222764"",""isrc"":""KRA382163046""},""external_metadata"":{""deezer"":{""track"":{""id"":""15"
Pole5_audio.mp3,West Coast,"YULTRON, Jay Park","{""cost_time"":1.8040001392365,""result_type"":0,""status"":{""msg"":""Success"",""code"":0,""version"":""1.0""},""metadata"":{""music"":[{""db_begin_time_offset_ms"":46360,""db_end_time_offset_ms"":57000,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":10640,""play_offset_ms"":57560,""duration_ms"":175000,""external_ids"":{""upc"":""0808391060661"",""isrc"":""KRF151900053""},""external_metadata"":{""deezer"":{""track"":{""id"":""71"
Pole6_audio.mp3,,,No result
Pole7_audio.mp3,Further,colorlessFlower,"{""result_type"":0,""cost_time"":1.2369999885559,""status"":{""code"":0,""msg"":""Success"",""version"":""1.0""},""metadata"":{""timestamp_utc"":""2026-04-05 06:11:53"",""music"":[{""external_metadata"":{""deezer"":{""album"":{""name"":""Mad"",""id"":""729184431""},""track"":{""id"":""3283565581"",""name"":""Further""},""artists"":[{""name"":""colorlessFlower"",""id"":""297639161""}]},""spotify"":{""album"":{""name"":""Mad"",""id"":""0B49TdPzji4wg81K31ZJyL""},""track"
Pole8_audio.mp3,,,No result
Pole9_audio.mp3,A COLD PLAY,The Kid LAROI,"{""cost_time"":0.38000011444092,""result_type"":0,""status"":{""msg"":""Success"",""code"":0,""version"":""1.0""},""metadata"":{""music"":[{""db_begin_time_offset_ms"":97140,""db_end_time_offset_ms"":108600,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11760,""play_offset_ms"":108600,""acrid"":""5f4bc58e5d8673e1b10c8d42cb74568c"",""external_ids"":{""upc"":""0196873582498"",""isrc"":""USSM12503891""},""title"":""A COLD PLAY"","""
Rose_ Stay A Little Longer_audio.mp3,,,No result
Rose_number one girl_audio.mp3,number one girl,로제 (ROSÉ),"{""cost_time"":0.51100015640259,""result_type"":0,""status"":{""code"":0,""msg"":""Success"",""version"":""1.0""},""metadata"":{""timestamp_utc"":""2026-04-05 06:12:00"",""music"":[{""external_metadata"":{""deezer"":{""album"":{""name"":""number one girl"",""id"":""672967161""},""track"":{""id"":""3102553601"",""name"":""number one girl""},""artists"":[{""name"":""ROSÉ"",""id"":""126335112"",""langs"":[{""code"":""en"",""name"":""ROSÉ""},{""code"":""ja-hrkt"",""name"":"""
Rose_On The Ground_audio.mp3,On The Ground,ROSÉ,"{""cost_time"":0.45499992370605,""result_type"":0,""status"":{""msg"":""Success"",""code"":0,""version"":""1.0""},""metadata"":{""music"":[{""acrid"":""a44df35e72f97c648d6fd475f7078727"",""external_ids"":{""upc"":""00191222006144"",""isrc"":""KRA402100040""},""external_metadata"":{""deezer"":{""track"":{""id"":""1272979642"",""name"":""On The Ground""},""album"":{""name"":""R"",""id"":""214225332""},""artists"":[{""name"":""Rose"",""id"":""126335112""}]},""spotify"""
Rose_toxic till the end_audio.mp3,toxic till the end,ROSÉ,"{""cost_time"":0.9300000667572,""result_type"":0,""status"":{""msg"":""Success"",""code"":0,""version"":""1.0""},""metadata"":{""music"":[{""db_begin_time_offset_ms"":0,""db_end_time_offset_ms"":9700,""sample_begin_time_offset_ms"":1000,""sample_end_time_offset_ms"":10700,""play_offset_ms"":10740,""acrid"":""e6d460ec2fd61c94f8d73c8c619e4c6a"",""external_ids"":{""upc"":""3617667419730"",""isrc"":""PT1R82401174""},""external_metadata"":{""youtub"
Yuhki Kuramoto_Romance (live)_audio.mp3,,,No result
