Audio File,Title,Artists,Note_or_raw
1_audio.mp3,A COLD PLAY,The Kid LAROI,"{""cost_time"":0.37599992752075,""result_type"":0,""status"":{""msg"":""Success"",""code"":0,""version"":""1.0""},""metadata"":{""music"":[{""db_begin_time_offset_ms"":97140,""db_end_time_offset_ms"":108600,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11760,""play_offset_ms"":108600,""acrid"":""5f4bc58e5d8673e1b10c8d42cb74568c"",""external_ids"":{""upc"":""0196873582498"",""isrc"":""USSM12503891""},""title"":""A COLD PLAY"","""
2_audio.mp3,황혼의 문턱,왁스,"{""cost_time"":0.96300005912781,""result_type"":0,""status"":{""msg"":""Success"",""code"":0,""version"":""1.0""},""metadata"":{""music"":[{""db_begin_time_offset_ms"":44640,""db_end_time_offset_ms"":55220,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":10580,""release_date"":""2003-09-01"",""acrid"":""887a340f891739bd7047a0e4190b11f5"",""external_ids"":{""upc"":""4548341000229"",""isrc"":""KRA070300230""},""external_metadata"":"
3_audio.mp3,동그라미,최유리,"{""cost_time"":0.55399990081787,""result_type"":0,""status"":{""msg"":""Success"",""code"":0,""version"":""1.0""},""metadata"":{""music"":[{""db_begin_time_offset_ms"":167200,""db_end_time_offset_ms"":178580,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11760,""play_offset_ms"":178580,""duration_ms"":294340,""external_ids"":{""upc"":""8804775140334"",""isrc"":""KRA382000474""},""external_metadata"":{""deezer"":{""track"":{""id"""
4_audio.mp3,Into Bloom,N.Flying,"{""cost_time"":1.5989999771118,""result_type"":0,""status"":{""msg"":""Success"",""code"":0,""version"":""1.0""},""metadata"":{""music"":[{""db_begin_time_offset_ms"":45520,""db_end_time_offset_ms"":56620,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11760,""play_offset_ms"":56620,""duration_ms"":190700,""external_ids"":{""upc"":""8804775222764"",""isrc"":""KRA382163046""},""external_metadata"":{""deezer"":{""track"":{""id"":""15"
5_audio.mp3,West Coast,"YULTRON, Jay Park","{""cost_time"":1.8669998645782,""result_type"":0,""status"":{""code"":0,""msg"":""Success"",""version"":""1.0""},""metadata"":{""timestamp_utc"":""2026-04-05 03:11:13"",""music"":[{""score"":100,""label"":""H1GHR MUSIC RECORDS"",""external_ids"":{""isrc"":""KRF151900053"",""upc"":""0808391060661""},""acrid"":""ee149739df5ebe9945ad4f5a09a6bccf"",""duration_ms"":175000,""artists"":[{""name"":""YULTRON""},{""name"":""Jay Park""}],""release_date"":""2019-07-1"
6_audio.mp3,,,No result
